team,rank_matches_only,strength_matches,rank_pele_tight,strength_pele_tight,pele_rating,pele_rank
Central African Republic,164,-1.4867,183,-0.8904,,
Armenia,156,-1.2797,184,-0.9164,,
Luxembourg,159,-1.3437,185,-0.9282,,
Laos,190,-2.5736,186,-0.9583,,
Barbados,196,-2.8108,187,-0.9662,,
Pakistan,184,-2.2377,188,-0.9667,,
Mauritius,181,-2.1247,189,-0.9828,,
Latvia,170,-1.7301,190,-1.0142,,
Eswatini,176,-1.9498,191,-1.0426,,
India,187,-2.4359,192,-1.0541,,
South Sudan,174,-1.8876,193,-1.0739,,
Lithuania,177,-1.9738,194,-1.0876,,
Chad,180,-2.0425,195,-1.0904,,
Azerbaijan,173,-1.8291,196,-1.0925,,
Maldives,207,-3.9724,197,-1.1729,,
Timor-Leste,203,-3.4664,198,-1.1814,,
Nepal,197,-2.9136,199,-1.183,,
Turks and Caicos Islands,213,-4.7623,200,-1.2323,,
Taiwan,199,-3.1307,201,-1.2484,,
Somalia,194,-2.7638,202,-1.2808,,
British Virgin Islands,209,-4.3367,203,-1.2975,,
Estonia,182,-2.2028,204,-1.3085,,
São Tomé and Príncipe,198,-3.0009,205,-1.3169,,
United States Virgin Islands,214,-4.7838,206,-1.3604,,
Antigua and Barbuda,205,-3.7704,207,-1.4246,,
Bahamas,211,-4.4411,208,-1.4437,,
Djibouti,204,-3.6111,209,-1.4888,,
Anguilla,212,-4.7587,210,-1.5034,,
Seychelles,210,-4.3741,211,-1.5186,,
San Marino,206,-3.9303,212,-1.6341,,
Gibraltar,208,-4.1513,213,-1.6695,,
Andorra,201,-3.4529,214,-1.6712,,
Liechtenstein,215,-4.9227,215,-1.938,,
